"year","sex","ageGroup","population","order"
2059,"FM","0",70,101
2059,"FM","1",70,100
2059,"FM","2",71,99
2059,"FM","3",71,98
2059,"FM","4",72,97
2059,"FM","5",72,96
2059,"FM","6",72,95
2059,"FM","7",72,94
2059,"FM","8",72,93
2059,"FM","9",72,92
2059,"FM","10",72,91
2059,"FM","11",72,90
2059,"FM","12",73,89
2059,"FM","13",73,88
2059,"FM","14",73,87
2059,"FM","15",73,86
2059,"FM","16",74,85
2059,"FM","17",75,84
2059,"FM","18",76,83
2059,"FM","19",78,82
2059,"FM","20",79,81
2059,"FM","21",81,80
2059,"FM","22",83,79
2059,"FM","23",85,78
2059,"FM","24",87,77
2059,"FM","25",89,76
2059,"FM","26",91,75
2059,"FM","27",93,74
2059,"FM","28",94,73
2059,"FM","29",95,72
2059,"FM","30",96,71
2059,"FM","31",97,70
2059,"FM","32",98,69
2059,"FM","33",98,68
2059,"FM","34",99,67
2059,"FM","35",99,66
2059,"FM","36",99,65
2059,"FM","37",99,64
2059,"FM","38",99,63
2059,"FM","39",100,62
2059,"FM","40",101,61
2059,"FM","41",105,60
2059,"FM","42",109,59
2059,"FM","43",112,58
2059,"FM","44",114,57
2059,"FM","45",113,56
2059,"FM","46",113,55
2059,"FM","47",110,54
2059,"FM","48",103,53
2059,"FM","49",101,52
2059,"FM","50",102,51
2059,"FM","51",103,50
2059,"FM","52",105,49
2059,"FM","53",107,48
2059,"FM","54",111,47
2059,"FM","55",115,46
2059,"FM","56",121,45
2059,"FM","57",127,44
2059,"FM","58",135,43
2059,"FM","59",142,42
2059,"FM","60",148,41
2059,"FM","61",153,40
2059,"FM","62",157,39
2059,"FM","63",159,38
2059,"FM","64",159,37
2059,"FM","65",159,36
2059,"FM","66",158,35
2059,"FM","67",156,34
2059,"FM","68",154,33
2059,"FM","69",152,32
2059,"FM","70",152,31
2059,"FM","71",154,30
2059,"FM","72",158,29
2059,"FM","73",164,28
2059,"FM","74",170,27
2059,"FM","75",175,26
2059,"FM","76",178,25
2059,"FM","77",180,24
2059,"FM","78",181,23
2059,"FM","79",179,22
2059,"FM","80",175,21
2059,"FM","81",168,20
2059,"FM","82",159,19
2059,"FM","83",148,18
2059,"FM","84",137,17
2059,"FM","85",127,16
2059,"FM","86",119,15
2059,"FM","87",112,14
2059,"FM","88",106,13
2059,"FM","89",100,12
2059,"FM","90",94,11
2059,"FM","91",86,10
2059,"FM","92",79,9
2059,"FM","93",70,8
2059,"FM","94",62,7
2059,"FM","95",53,6
2059,"FM","96",45,5
2059,"FM","97",37,4
2059,"FM","98",30,3
2059,"FM","99",23,2
2059,"FM","100+",61,1
2059,"M","0",74,101
2059,"M","1",75,100
2059,"M","2",75,99
2059,"M","3",76,98
2059,"M","4",76,97
2059,"M","5",77,96
2059,"M","6",77,95
2059,"M","7",77,94
2059,"M","8",77,93
2059,"M","9",76,92
2059,"M","10",76,91
2059,"M","11",77,90
2059,"M","12",77,89
2059,"M","13",77,88
2059,"M","14",77,87
2059,"M","15",78,86
2059,"M","16",78,85
2059,"M","17",79,84
2059,"M","18",81,83
2059,"M","19",82,82
2059,"M","20",84,81
2059,"M","21",86,80
2059,"M","22",88,79
2059,"M","23",90,78
2059,"M","24",92,77
2059,"M","25",94,76
2059,"M","26",96,75
2059,"M","27",98,74
2059,"M","28",99,73
2059,"M","29",100,72
2059,"M","30",101,71
2059,"M","31",102,70
2059,"M","32",103,69
2059,"M","33",103,68
2059,"M","34",104,67
2059,"M","35",104,66
2059,"M","36",104,65
2059,"M","37",104,64
2059,"M","38",104,63
2059,"M","39",105,62
2059,"M","40",107,61
2059,"M","41",111,60
2059,"M","42",115,59
2059,"M","43",119,58
2059,"M","44",120,57
2059,"M","45",119,56
2059,"M","46",119,55
2059,"M","47",115,54
2059,"M","48",108,53
2059,"M","49",106,52
2059,"M","50",107,51
2059,"M","51",108,50
2059,"M","52",110,49
2059,"M","53",112,48
2059,"M","54",116,47
2059,"M","55",120,46
2059,"M","56",126,45
2059,"M","57",132,44
2059,"M","58",139,43
2059,"M","59",146,42
2059,"M","60",152,41
2059,"M","61",156,40
2059,"M","62",159,39
2059,"M","63",160,38
2059,"M","64",160,37
2059,"M","65",160,36
2059,"M","66",158,35
2059,"M","67",156,34
2059,"M","68",154,33
2059,"M","69",151,32
2059,"M","70",150,31
2059,"M","71",150,30
2059,"M","72",151,29
2059,"M","73",153,28
2059,"M","74",155,27
2059,"M","75",156,26
2059,"M","76",156,25
2059,"M","77",156,24
2059,"M","78",154,23
2059,"M","79",150,22
2059,"M","80",144,21
2059,"M","81",135,20
2059,"M","82",125,19
2059,"M","83",113,18
2059,"M","84",102,17
2059,"M","85",92,16
2059,"M","86",84,15
2059,"M","87",77,14
2059,"M","88",71,13
2059,"M","89",66,12
2059,"M","90",59,11
2059,"M","91",53,10
2059,"M","92",46,9
2059,"M","93",39,8
2059,"M","94",32,7
2059,"M","95",26,6
2059,"M","96",20,5
2059,"M","97",15,4
2059,"M","98",11,3
2059,"M","99",8,2
2059,"M","100+",16,1
