year,sex,ageGroup,population,order
1950,FM,0,151,101
1950,FM,1,134,100
1950,FM,2,123,99
1950,FM,3,114,98
1950,FM,4,109,97
1950,FM,5,105,96
1950,FM,6,102,95
1950,FM,7,99,94
1950,FM,8,97,93
1950,FM,9,96,92
1950,FM,10,95,91
1950,FM,11,94,90
1950,FM,12,94,89
1950,FM,13,91,88
1950,FM,14,87,87
1950,FM,15,84,86
1950,FM,16,81,85
1950,FM,17,78,84
1950,FM,18,76,83
1950,FM,19,74,82
1950,FM,20,73,81
1950,FM,21,71,80
1950,FM,22,69,79
1950,FM,23,66,78
1950,FM,24,64,77
1950,FM,25,61,76
1950,FM,26,58,75
1950,FM,27,56,74
1950,FM,28,54,73
1950,FM,29,53,72
1950,FM,30,51,71
1950,FM,31,50,70
1950,FM,32,48,69
1950,FM,33,47,68
1950,FM,34,46,67
1950,FM,35,45,66
1950,FM,36,44,65
1950,FM,37,42,64
1950,FM,38,40,63
1950,FM,39,38,62
1950,FM,40,35,61
1950,FM,41,33,60
1950,FM,42,31,59
1950,FM,43,30,58
1950,FM,44,29,57
1950,FM,45,28,56
1950,FM,46,28,55
1950,FM,47,27,54
1950,FM,48,25,53
1950,FM,49,24,52
1950,FM,50,22,51
1950,FM,51,21,50
1950,FM,52,20,49
1950,FM,53,19,48
1950,FM,54,18,47
1950,FM,55,18,46
1950,FM,56,17,45
1950,FM,57,16,44
1950,FM,58,16,43
1950,FM,59,15,42
1950,FM,60,15,41
1950,FM,61,14,40
1950,FM,62,14,39
1950,FM,63,13,38
1950,FM,64,12,37
1950,FM,65,11,36
1950,FM,66,11,35
1950,FM,67,10,34
1950,FM,68,9,33
1950,FM,69,8,32
1950,FM,70,8,31
1950,FM,71,7,30
1950,FM,72,6,29
1950,FM,73,6,28
1950,FM,74,5,27
1950,FM,75,4,26
1950,FM,76,4,25
1950,FM,77,3,24
1950,FM,78,3,23
1950,FM,79,3,22
1950,FM,80,2,21
1950,FM,81,2,20
1950,FM,82,2,19
1950,FM,83,1,18
1950,FM,84,1,17
1950,FM,85,1,16
1950,FM,86,0,15
1950,FM,87,0,14
1950,FM,88,0,13
1950,FM,89,0,12
1950,FM,90,0,11
1950,FM,91,0,10
1950,FM,92,0,9
1950,FM,93,0,8
1950,FM,94,0,7
1950,FM,95,0,6
1950,FM,96,0,5
1950,FM,97,0,4
1950,FM,98,0,3
1950,FM,99,0,2
1950,FM,100+,0,1
1950,M,0,157,101
1950,M,1,138,100
1950,M,2,127,99
1950,M,3,118,98
1950,M,4,112,97
1950,M,5,108,96
1950,M,6,104,95
1950,M,7,101,94
1950,M,8,99,93
1950,M,9,97,92
1950,M,10,96,91
1950,M,11,96,90
1950,M,12,95,89
1950,M,13,91,88
1950,M,14,87,87
1950,M,15,83,86
1950,M,16,80,85
1950,M,17,77,84
1950,M,18,76,83
1950,M,19,76,82
1950,M,20,75,81
1950,M,21,75,80
1950,M,22,74,79
1950,M,23,73,78
1950,M,24,72,77
1950,M,25,70,76
1950,M,26,69,75
1950,M,27,68,74
1950,M,28,66,73
1950,M,29,65,72
1950,M,30,64,71
1950,M,31,63,70
1950,M,32,61,69
1950,M,33,60,68
1950,M,34,58,67
1950,M,35,56,66
1950,M,36,54,65
1950,M,37,52,64
1950,M,38,49,63
1950,M,39,46,62
1950,M,40,43,61
1950,M,41,41,60
1950,M,42,38,59
1950,M,43,36,58
1950,M,44,35,57
1950,M,45,33,56
1950,M,46,31,55
1950,M,47,30,54
1950,M,48,28,53
1950,M,49,26,52
1950,M,50,24,51
1950,M,51,22,50
1950,M,52,20,49
1950,M,53,19,48
1950,M,54,18,47
1950,M,55,17,46
1950,M,56,17,45
1950,M,57,16,44
1950,M,58,15,43
1950,M,59,14,42
1950,M,60,12,41
1950,M,61,11,40
1950,M,62,10,39
1950,M,63,9,38
1950,M,64,8,37
1950,M,65,8,36
1950,M,66,7,35
1950,M,67,6,34
1950,M,68,5,33
1950,M,69,5,32
1950,M,70,4,31
1950,M,71,4,30
1950,M,72,3,29
1950,M,73,3,28
1950,M,74,2,27
1950,M,75,2,26
1950,M,76,1,25
1950,M,77,1,24
1950,M,78,1,23
1950,M,79,1,22
1950,M,80,1,21
1950,M,81,1,20
1950,M,82,1,19
1950,M,83,1,18
1950,M,84,0,17
1950,M,85,0,16
1950,M,86,0,15
1950,M,87,0,14
1950,M,88,0,13
1950,M,89,0,12
1950,M,90,0,11
1950,M,91,0,10
1950,M,92,0,9
1950,M,93,0,8
1950,M,94,0,7
1950,M,95,0,6
1950,M,96,0,5
1950,M,97,0,4
1950,M,98,0,3
1950,M,99,0,2
1950,M,100+,0,1
1951,FM,0,166,101
1951,FM,1,147,100
1951,FM,2,131,99
1951,FM,3,121,98
1951,FM,4,114,97
1951,FM,5,109,96
1951,FM,6,105,95
1951,FM,7,102,94
1951,FM,8,99,93
1951,FM,9,97,92
1951,FM,10,96,91
1951,FM,11,95,90
1951,FM,12,94,89
1951,FM,13,94,88
1951,FM,14,91,87
1951,FM,15,87,86
1951,FM,16,84,85
1951,FM,17,81,84
1951,FM,18,79,83
1951,FM,19,77,82
1951,FM,20,75,81
1951,FM,21,73,80
1951,FM,22,72,79
1951,FM,23,70,78
1951,FM,24,67,77
1951,FM,25,64,76
1951,FM,26,62,75
1951,FM,27,59,74
1951,FM,28,57,73
1951,FM,29,55,72
1951,FM,30,53,71
1951,FM,31,52,70
1951,FM,32,50,69
1951,FM,33,49,68
1951,FM,34,47,67
1951,FM,35,46,66
1951,FM,36,45,65
1951,FM,37,44,64
1951,FM,38,42,63
1951,FM,39,40,62
1951,FM,40,38,61
1951,FM,41,35,60
1951,FM,42,33,59
1951,FM,43,31,58
1951,FM,44,30,57
1951,FM,45,29,56
1951,FM,46,28,55
1951,FM,47,28,54
1951,FM,48,27,53
1951,FM,49,25,52
1951,FM,50,24,51
1951,FM,51,22,50
1951,FM,52,21,49
1951,FM,53,19,48
1951,FM,54,18,47
1951,FM,55,18,46
1951,FM,56,17,45
1951,FM,57,17,44
1951,FM,58,16,43
1951,FM,59,16,42
1951,FM,60,15,41
1951,FM,61,14,40
1951,FM,62,14,39
1951,FM,63,13,38
1951,FM,64,13,37
1951,FM,65,12,36
1951,FM,66,11,35
1951,FM,67,10,34
1951,FM,68,9,33
1951,FM,69,9,32
1951,FM,70,8,31
1951,FM,71,7,30
1951,FM,72,6,29
1951,FM,73,6,28
1951,FM,74,5,27
1951,FM,75,5,26
1951,FM,76,4,25
1951,FM,77,3,24
1951,FM,78,3,23
1951,FM,79,2,22
1951,FM,80,2,21
1951,FM,81,2,20
1951,FM,82,2,19
1951,FM,83,1,18
1951,FM,84,1,17
1951,FM,85,1,16
1951,FM,86,0,15
1951,FM,87,0,14
1951,FM,88,0,13
1951,FM,89,0,12
1951,FM,90,0,11
1951,FM,91,0,10
1951,FM,92,0,9
1951,FM,93,0,8
1951,FM,94,0,7
1951,FM,95,0,6
1951,FM,96,0,5
1951,FM,97,0,4
1951,FM,98,0,3
1951,FM,99,0,2
1951,FM,100+,0,1
1951,M,0,173,101
1951,M,1,152,100
1951,M,2,135,99
1951,M,3,125,98
1951,M,4,117,97
1951,M,5,112,96
1951,M,6,108,95
1951,M,7,104,94
1951,M,8,101,93
1951,M,9,99,92
1951,M,10,97,91
1951,M,11,96,90
1951,M,12,96,89
1951,M,13,95,88
1951,M,14,91,87
1951,M,15,87,86
1951,M,16,83,85
1951,M,17,80,84
1951,M,18,77,83
1951,M,19,76,82
1951,M,20,76,81
1951,M,21,76,80
1951,M,22,75,79
1951,M,23,75,78
1951,M,24,74,77
1951,M,25,72,76
1951,M,26,71,75
1951,M,27,70,74
1951,M,28,68,73
1951,M,29,67,72
1951,M,30,66,71
1951,M,31,65,70
1951,M,32,63,69
1951,M,33,62,68
1951,M,34,60,67
1951,M,35,58,66
1951,M,36,56,65
1951,M,37,54,64
1951,M,38,52,63
1951,M,39,49,62
1951,M,40,46,61
1951,M,41,43,60
1951,M,42,40,59
1951,M,43,38,58
1951,M,44,36,57
1951,M,45,34,56
1951,M,46,33,55
1951,M,47,31,54
1951,M,48,30,53
1951,M,49,28,52
1951,M,50,26,51
1951,M,51,24,50
1951,M,52,22,49
1951,M,53,20,48
1951,M,54,19,47
1951,M,55,18,46
1951,M,56,17,45
1951,M,57,16,44
1951,M,58,15,43
1951,M,59,14,42
1951,M,60,13,41
1951,M,61,12,40
1951,M,62,11,39
1951,M,63,10,38
1951,M,64,9,37
1951,M,65,8,36
1951,M,66,7,35
1951,M,67,6,34
1951,M,68,5,33
1951,M,69,5,32
1951,M,70,4,31
1951,M,71,4,30
1951,M,72,3,29
1951,M,73,3,28
1951,M,74,2,27
1951,M,75,2,26
1951,M,76,2,25
1951,M,77,1,24
1951,M,78,1,23
1951,M,79,1,22
1951,M,80,1,21
1951,M,81,1,20
1951,M,82,1,19
1951,M,83,0,18
1951,M,84,0,17
1951,M,85,0,16
1951,M,86,0,15
1951,M,87,0,14
1951,M,88,0,13
1951,M,89,0,12
1951,M,90,0,11
1951,M,91,0,10
1951,M,92,0,9
1951,M,93,0,8
1951,M,94,0,7
1951,M,95,0,6
1951,M,96,0,5
1951,M,97,0,4
1951,M,98,0,3
1951,M,99,0,2
1951,M,100+,0,1
1952,FM,0,175,101
1952,FM,1,161,100
1952,FM,2,143,99
1952,FM,3,129,98
1952,FM,4,121,97
1952,FM,5,113,96
1952,FM,6,109,95
1952,FM,7,105,94
1952,FM,8,101,93
1952,FM,9,99,92
